volume,sentiment,Taker Buy Sell Ratio,MVRV Ratio,Open Interest,Exchange Netflow (Total),fng_value,Daily_sentiment,lag_return_1,lag_fng,ma_3,volatility_3,Actual_Return,Predicted_Return,Signal
0.18718945779447785,0.5,0.5435535657658694,0.2071180888712196,0.25844160056334,0.4151708679841735,0.6292134831460674,1.0,0.402453817912026,0.6404494382022472,0.5205476971950336,0.10315155351192269,-4.262090129003582e-05,-0.009976216,Sell
0.24260101262656628,0.5,0.43646644788727995,0.20648091947314687,0.25205683434651205,0.43114547866898384,0.6292134831460674,0.5,0.4785144073853604,0.6292134831460674,0.5414295075384847,0.09417974719793627,-0.0046600838246785,0.006302546,Buy
0.14914077002019027,0.5,0.2821063867314044,0.20447915461534785,0.26240840766586515,0.4314002507482866,0.6404494382022472,1.0,0.44041389825944494,0.6292134831460674,0.5597084703336449,0.06388629859840074,-0.0047140185848665,-0.007814559,Sell
0.08112606173457262,0.5,0.30542717269223774,0.20297992063459888,0.27370921850887353,0.42443100468170225,0.651685393258427,1.0,0.4272122995075922,0.6404494382022472,0.5217187421568258,0.013432359878678314,0.0012262151900095,0.017797366,Buy
0.051205904391517156,0.5,0.4321937248515648,0.203148269999294,0.27105008324489477,0.4264419346033405,0.6179775280898876,0.0,0.4270580968481247,0.651685393258427,0.5243970233865062,0.019002009432708834,0.0137690734792246,0.014714989,Buy
0.12423000573577753,0.5,0.6712161081578021,0.20879145778084793,0.28648736653428764,0.42724985482151756,0.6179775280898876,1.0,0.4440415754573191,0.6179775280898876,0.5632976082802714,0.06478826294344496,0.0464050809978309,0.007822468,Buy
0.2606908200586258,0.5,0.9333208682087228,0.22939078524377457,0.3918284126454238,0.4331341677601237,0.6292134831460674,1.0,0.4799023468555774,0.6179775280898876,0.6712006903484029,0.17036868534323107,0.0189716808841748,0.023562614,Buy
0.28503507000299527,0.5,0.5727543812993887,0.23745185775862684,0.3999131124094749,0.4238393735357155,0.696629213483146,0.5,0.573210616628736,0.6292134831460674,0.7086581271335931,0.12636348639290737,-0.0102732805258223,0.0070199324,Buy
0.2525322886575915,0.5,0.2613285593002712,0.2320568874413336,0.3879411952866123,0.4919893360605391,0.6629213483146068,0.5,0.49477690818138187,0.696629213483146,0.6579091092812572,0.20855048224981204,0.0163246861924686,-0.0019343803,Sell
0.18908651263202395,0.5,0.5737412463114104,0.2392749436607409,0.40161053304565,0.3956834462295051,0.6179775280898876,1.0,0.41116383917488986,0.6629213483146068,0.5944148901768304,0.11602403341819903,0.0029773373250732,0.0076872306,Buy
0.27827330538306766,0.5,0.4010144637483286,0.2401956522614954,0.3472321516594792,0.401803301506199,0.696629213483146,0.0,0.48720899428624537,0.6179775280898876,0.5606537523678267,0.09415938987440221,-0.0056710154302844,0.0149671,Buy
0.06170896706612198,0.5,0.2759640777772594,0.23751551758771475,0.3493210356312335,0.42168496512441755,0.696629213483146,1.0,0.449048136890764,0.696629213483146,0.5703682933585137,0.07729669183661894,0.0002047529094726,0.014660812,Buy
0.0766350191247187,0.5,0.4418886308742125,0.23774749884690669,0.33989917028745764,0.4372318480439528,0.696629213483146,0.5,0.42432198644082664,0.696629213483146,0.5363420585819398,0.026619410634735774,-0.028613314138926,-0.0027606343,Sell
0.19870946391429148,0.5,0.09008048412935565,0.22371494813300682,0.32739987369355905,0.4432073092526473,0.7078651685393258,0.0,0.4411211545700183,0.696629213483146,0.4696599635268184,0.10882611176494762,0.0321481985044187,0.0003647944,Hold
0.23736376090087138,0.5,0.5513598774689212,0.23828236866882593,0.3528630813570559,0.4353546568395508,0.5842696629213484,1.0,0.3587286017137926,0.7078651685393258,0.5494894162805157,0.22413827784793414,-0.0517259548571089,0.0068369443,Buy
0.2924441738638947,0.5,0.0692913978759937,0.2132329894682433,0.2920972638459336,0.4504476928011991,0.6404494382022472,0.0,0.5324493489687407,0.5842696629213484,0.4398731775803677,0.32243589964734637,-0.0196283395438806,-0.0054053655,Sell
0.2901116876689057,0.5,0.30086522952187433,0.20482157062436648,0.2982045198208916,0.4581770301696242,0.5168539325842696,0.0,0.29264819913781004,0.6404494382022472,0.45883881780141367,0.31481438456574345,-0.0346228644097216,0.0057296017,Buy
0.31432504125648436,0.5,0.2935119391950485,0.189331253278163,0.2742666640647171,0.44879541927958544,0.49438202247191015,0.5,0.3844171738512241,0.5168539325842696,0.3178973000474604,0.11515454770919306,0.0203540959544996,0.002005973,Buy
0.1439810585811762,0.5,0.6807876057913473,0.1979643268940852,0.2975158238174034,0.42236208412353754,0.5280898876404494,0.0,0.3415469431557393,0.49438202247191015,0.4700451215406354,0.20912201736899136,-0.0083143933945165,-0.015207261,Sell
0.13727911873075124,0.5,0.29544856628220284,0.1943773112421042,0.27493950061188877,0.4186311786586397,0.5617977528089888,0.0,0.4987293143771093,0.5280898876404494,0.49392679531492206,0.2021098757623212,-0.0028466782709603,0.020941526,Buy
0.2612911793624788,0.5,0.3753163482302533,0.1930463241992166,0.27137955593401597,0.426310956010143,0.5280898876404494,0.5,0.4167644129827873,0.5617977528089888,0.56100052017966,0.10877198401281833,0.0287007909809982,-0.0049512857,Sell
0.22495451066810532,0.5,0.718409325814048,0.20559029642691937,0.2912238764627695,0.4310592426924665,0.5280898876404494,0.0,0.4323969329073123,0.5280898876404494,0.5786188688163559,0.14495862721650946,0.0038604715290224,-0.007911276,Sell
