volume,sentiment,Taker Buy Sell Ratio,MVRV Ratio,Open Interest,Funding Rates,Estimated Leverage Ratio,Exchange Netflow (Total),fng_value,Daily_sentiment,lag_return_1,lag_fng,ma_3,volatility_3,Datetime,Actual_Return,Predicted_Return,Signal,Price,high,low,MA_9,Prev_Close,TR,ATR_14,Position,Cash,Portfolio_Value,Daily_Return
2697385,1,0.99642069,1.32210972,8497083913.267618,0.00789923,0.21555222,-2127.724817400001,47,1,0.0038924473061348,44.0,-0.0002263927854297,0.0041390665011007,2023-10-14,-0.0001862322241341,0.0004151765832984,0,26843.2,26976.4,26778.9,,,197.5,,0,100000.0,100000.0,0.0
5539812,1,1.14917138,1.33758929,8700942695.598574,0.005298665,0.21834527,-1696.7572505200003,45,1,-0.0001862322241341,47.0,0.0050414589503631,0.0058869058771497,2023-10-15,0.0114181617690887,0.0163659097626798,1,27149.7,27287.2,26799.0,,26843.2,488.2000000000007,,0,100000.0,100000.0,0.0
31393411,1,1.05911365,1.40308361,8368627111.678736,0.0060513066666666,0.20116224,-3712.683222790001,47,1,0.0114181617690887,45.0,0.0203297951428149,0.0261372512420242,2023-10-16,0.0497574558834903,0.0363397410120732,1,28500.6,30568.1,27108.4,,27149.7,3459.699999999997,,0,100000.0,100000.0,0.0
12627516,1,0.96728569,1.39735705,8490178658.0,0.001990965,0.20554291,-6850.697604189998,52,0,0.0497574558834903,47.0,0.0191930673795065,0.0275135560445164,2023-10-17,-0.0035964155140593,-0.0075231200942071,-1,28398.1,28615.6,28063.8,,28500.6,551.7999999999993,,0,100000.0,100000.0,0.0
10939212,1,1.02191238,1.39292537,8237499571.0,-0.00022305,0.20017978,-109.89944688999822,50,0,-0.0035964155140593,52.0,0.0144033795748675,0.0306192293463729,2023-10-18,-0.0029509016448283,0.0164679367379299,1,28314.3,28999.9,28133.8,,28398.1,866.1000000000022,,0,100000.0,100000.0,0.0
10972213,1,1.01137216,1.41254128,8627207565.279358,-0.00656295,0.20778258,-8207.188399599996,52,1,-0.0029509016448283,50.0,0.0025171885792468,0.0100352331554774,2023-10-19,0.0140988828966281,0.0059787880260868,1,28713.5,28922.0,28090.7,,28314.3,831.2999999999993,,0,100000.0,100000.0,0.0
23590176,1,1.08691382,1.45820131,8797721881.197485,-4.89983333333e-05,0.20541582,3034.609929120008,53,1,0.0140988828966281,52.0,0.0148280722734782,0.0181545550660891,2023-10-20,0.033336235568635,0.0303758173438039,1,29670.7,30263.5,28578.9,,28713.5,1684.5999999999985,,0,100000.0,100000.0,0.0
9573013,1,1.05394656,1.46959898,9046842741.0,0.0013834233333333,0.20924655,1835.06713358,63,1,0.033336235568635,53.0,0.0184742655149949,0.013228579722896,2023-10-21,0.0079876780797216,0.0197116359548244,1,29907.7,30384.6,29466.4,,29670.7,918.1999999999971,,0,100000.0,100000.0,0.0
7390432,1,0.99596058,1.47377427,8932910816.430319,0.0071576966666666,0.20587866,308.7837387100008,53,1,0.0079876780797216,63.0,0.0147364860578931,0.0163086159160883,2023-10-22,0.0028855445253228,0.0037512926280761,1,29994.0,30280.9,29621.4,28610.199999999997,29907.7,659.5,,1,100000.0,100000.0,0.0
44118216,1,1.08214354,1.62180793,8891804249.538946,0.0076325299999999,0.18578892,4016.540209640007,53,0,0.0028855445253228,53.0,0.0380479589119568,0.0565420898129159,2023-10-23,0.1032706541308261,0.0590207678654873,1,33091.5,35811.9,29884.8,29304.455555555553,29994.0,5927.100000000002,,1,100000.0,110327.06541308262,0.10327065413082614
43741546,1,1.00125255,1.65818904,8832562127.981163,0.0170455766666666,0.17918239,5057.920286290013,66,1,0.1032706541308261,53.0,0.0438054872885781,0.0526994929741478,2023-10-24,0.0252602632095855,0.0185368076173607,1,33927.4,35296.5,32857.2,30057.533333333333,33091.5,2439.300000000003,,1,100000.0,113113.95612455824,0.02526026320958552
19844114,1,1.01053803,1.68401912,9387949999.008102,0.012830875,0.18715298,3797.79674428,72,1,0.0252602632095855,66.0,0.0484909919904961,0.0476225437162799,2023-10-25,0.0169420586310768,0.0211224370191905,1,34502.2,35163.0,33675.1,30724.37777777778,33927.4,1487.9000000000015,,1,100000.0,115030.33940121355,0.016942058631076673
13505235,1,0.95040768,1.6646263,9325159856.0,0.0141662066666666,0.1878319,1814.9191513999976,71,1,0.0169420586310768,72.0,0.0107777953155731,0.0183579346354917,2023-10-26,-0.0098689358939429,-0.0083058981971857,-1,34161.7,34841.5,33749.0,31364.777777777777,34502.2,1092.5,,1,100000.0,113895.11235580448,-0.009868935893942998
11608539,1,0.94623263,1.65066238,9183458593.532455,0.0123733649999999,0.18640675,-402.7068505400021,70,1,-0.0098689358939429,71.0,-0.0001402165094325,0.0148412749973715,2023-10-27,-0.0074937722654317,-0.0063394313347697,-1,33905.7,34271.1,33365.8,31986.044444444447,34161.7,905.2999999999956,1536.3571428571427,1,100000.0,113041.60832166432,-0.007493772265431797
6793353,1,1.06213957,1.65882687,9325529483.427773,0.0135560299999999,0.18801117,-206.56425246999788,65,1,-0.0074937722654317,70.0,-0.0038586901714588,0.0084370973729562,2023-10-28,0.0057866376449979,0.0129359482475696,1,34101.9,34543.0,33874.2,32584.755555555555,33905.7,668.8000000000029,1570.0214285714285,1,100000.0,113695.73914782956,0.005786637644997761
