volume,sentiment,Taker Buy Sell Ratio,Gas Price (Mean),Open Interest,Estimated Leverage Ratio,Funding Rates,Exchange Netflow (Total),fng_value,Daily_sentiment,lag_return_1,lag_fng,ma_3,volatility_3,Datetime,Actual_Return,Predicted_Return,Signal
11663902,1,1.07346468,7.940853545,4160054188.2825785,0.2550903,0.00757856,-16468.25719258419,47,1,0.0081173473366782,44.0,-0.002488191336518648,0.013343827336885643,2023-10-14,0.0018888967682457,0.010908595104812553,Buy
20471231,1,1.03729321,8.599934583,4169546786.2479486,0.25549575,0.00497183,-3939.588847555861,45,1,0.0018888967682457,47.0,0.0040153366285871845,0.0035532462976434784,2023-10-15,0.0020397657808377,0.006686909376770089,Buy
85291767,1,1.04248686,14.850235863,4076070247.964648,0.24349889,0.00345932,-20978.287855291503,47,1,0.0020397657808377,45.0,0.010218306893433384,0.014296504150194353,2023-10-16,0.0267262581312168,0.019039001969119708,Buy
31771566,1,0.94194509,12.340604841,4070717851.6465626,0.24890138,0.00278662,-28178.64887135953,52,0,0.0267262581312168,47.0,0.002352404474926318,0.02421904777720012,2023-10-17,-0.0217088104872755,-0.01337432102541794,Sell
28456722,1,1.01590537,12.820216358,4059151326.7421794,0.24829716,0.00329135,-18867.67768313631,50,0,-0.0217088104872755,52.0,0.001386922915031052,0.02429535510841429,2023-10-18,-0.0008566788988481,0.009519469311426765,Buy
34140948,1,0.99945508,13.178353285,4073037173.555074,0.24884308,0.00381804,-18354.88298328413,52,1,-0.0008566788988481,50.0,-0.006764661221922815,0.013036183594204862,2023-10-19,0.0022715057203552,-0.001991796954335797,Sell
52236177,1,1.08828055,16.980753564,4178868795.75206,0.2486982,0.00551759,8148.0844937291695,53,1,0.0022715057203552,52.0,0.008466637849862917,0.013530080430004105,2023-10-20,0.0239850867280817,0.020124068650408805,Buy
29862409,1,1.01953629,11.306750982,4229006422.036673,0.24803777,0.00505579,-4371.667506934435,63,1,0.0239850867280817,53.0,0.013937281067606618,0.01094683833238072,2023-10-21,0.015555250754383,0.010163614998733705,Buy
40230157,1,1.06099225,11.48021576,4303812837.408213,0.24665055,0.00528222,10947.897866657702,53,1,0.015555250754383,63.0,0.020287114518003118,0.004308971158436814,2023-10-22,0.0213210060715447,0.025402853599977446,Buy
132613729,1,1.04076657,25.898811752,4397731607.471676,0.23746365,0.01394912,1779.4399678469636,53,0,0.0213210060715447,53.0,0.032969636040226256,0.025333873082454557,2023-10-23,0.0620326512947511,0.03908996511156564,Buy
146804878,1,0.97477894,31.356942566,4292442654.028679,0.22736068,0.03240148,35099.06803256506,66,1,0.0620326512947511,53.0,0.031191765332659088,0.02727946433833259,2023-10-24,0.0102216386316815,0.006270160277539393,Buy
87744758,1,0.98184022,29.650142245,4431157775.195919,0.23573536,0.01634468,25679.533931085025,72,1,0.0102216386316815,66.0,0.024439591777259087,0.03287692133878926,2023-10-25,0.0010644854053447,0.00388565975091128,Buy
90270781,1,0.98258536,28.965039599,4528853767.375012,0.23809591,0.01775669,10307.701076811994,71,1,0.0010644854053447,72.0,0.006870018362315953,0.005047735077384212,2023-10-26,0.0093239310499217,0.005177694643965793,Buy
57862876,1,0.95045355,22.917952679,4481753566.99456,0.23942307,0.01571208,-28906.65874281252,70,1,0.0093239310499217,71.0,-0.0009342978607020808,0.01138992410919512,2023-10-27,-0.0131913100373726,-0.006910570739345524,Sell
21007580,1,0.99018016,17.65810799,4481762284.504203,0.24028233,0.01695761,-11423.05835533503,65,1,-0.0131913100373726,70.0,-0.0019090914537708142,0.011257701163890497,2023-10-28,-0.0018598953738615,0.0034852793635252134,Buy
28829313,1,1.0169983,18.114650623,4555919589.038439,0.24162336,0.01655502,-4202.705114310083,72,0,-0.0018598953738615,65.0,-0.0013935537173958474,0.012037703848780692,2023-10-29,0.0108705442590466,0.007142568973547573,Buy
53592217,1,0.96443439,27.247936476,4625459767.538194,0.24013172,0.01986933,98663.597657074,68,1,0.0108705442590466,72.0,0.005648801818385386,0.00666623168204027,2023-10-30,0.0079357565699711,-0.002733608566914688,Sell
43561949,1,0.96583133,29.033154312,4646992623.241363,0.24029554,0.01353181,-2692.4610871507903,66,0,0.0079357565699711,68.0,0.0074419311344250194,0.003700322673593873,2023-10-31,0.0035194925742574,-0.0031550195754429106,Sell
75884056,1,0.98622559,30.502115045,4878707481.32112,0.24776735,0.02011179,7094.640195278218,66,-1,0.0035194925742574,66.0,0.009790296789640919,0.007375077190182995,2023-11-01,0.0179156412246943,0.002417717137547026,Buy
53542134,1,0.91915132,30.074060484,4585910698.265626,0.23941513,0.023504,-36890.686464968254,72,1,0.0179156412246943,66.0,-0.0014117183260916471,0.02220745267339062,2023-11-02,-0.0256702887772266,-0.014721080563950058,Sell
56983538,1,1.02761276,23.092755495,5064911494.85907,0.25285893,0.02168521,-17534.827957143192,70,0,-0.0256702887772266,72.0,0.01447990705931132,0.03854733577544792,2023-11-05,0.0511943687304663,0.026233615902693533,Buy
55054089,1,0.97155453,34.963340751,5076827514.61291,0.25376037,0.01702712,-70697.53619774082,74,0,0.0511943687304663,70.0,0.00993741034378352,0.03874247657457939,2023-11-06,0.0042881510781109,-0.007440178947654128,Sell
64814118,1,0.95946474,31.764118198,4810335069.170317,0.24317564,0.01238163,-29069.49659729924,68,0,0.0042881510781109,74.0,0.01582114040261472,0.031246056717850038,2023-11-07,-0.008019098600733,-0.005946267095187177,Sell
37075513,1,0.96004212,36.835194279,4925166757.011502,0.24829317,0.0165453,8704.539715201478,66,1,-0.008019098600733,68.0,-0.0006994199476843484,0.006476584219569561,2023-11-08,0.0016326876795691,-0.004935723407899539,Sell
203252598,1,1.05700297,57.102480375,5800378137.724618,0.25794451,0.03459164,85234.24771786132,69,1,0.0016326876795691,66.0,0.03896585431869192,0.07318092790486698,2023-11-09,0.1232839738772397,0.06923458349213438,Buy
95530461,1,0.97213095,44.566249163,5662285420.926065,0.25496414,0.04584948,91712.78468865064,70,1,0.1232839738772397,69.0,0.03490622884563432,0.07731179613182042,2023-11-10,-0.0201979750199058,-0.004724841742304532,Sell
81000027,1,0.94708161,33.766431271,5476999286.354083,0.25046323,0.02091192,-10507.063141319726,70,1,-0.0201979750199058,70.0,0.03043339727829905,0.08052088749927705,2023-11-11,-0.0117858070224367,-0.0031078797490088315,Sell
50075861,1,0.92054376,32.887947141,5486804645.884221,0.25345025,0.037144,-61739.46371826483,73,0,-0.0117858070224367,70.0,-0.011931265692678014,0.00819494824752527,2023-11-12,-0.0038100150356915,-0.02053084133828735,Sell
113405129,1,0.93162602,54.342492133,5497863795.727246,0.25368232,0.03216126,-3423.2849975175923,72,0,-0.0038100150356915,73.0,-0.004045858339384381,0.007624763118442556,2023-11-13,0.0034582470399751,-0.008505360554874662,Sell
121381521,1,0.87703832,42.76907431,5072624779.327388,0.24405231,0.02480952,-60454.426381590776,69,0,0.0034582470399751,72.0,-0.012159935957294081,0.021072717254770994,2023-11-14,-0.0361280398761658,-0.030743539173821666,Sell
83510295,1,1.01313945,39.406915229,5386133010.1823845,0.24874399,0.0166637,15381.231639246806,60,1,-0.0361280398761658,69.0,0.0026495157603915512,0.03837958109776358,2023-11-15,0.0406183401173654,0.020382334172646184,Buy
137957605,1,0.93376252,39.56267347,5115526978.311608,0.24916034,0.02807433,-12455.2686669901,70,0,0.0406183401173654,60.0,-0.01446968913649968,0.04806931728972126,2023-11-16,-0.0478993676506986,-0.03795884197704782,Sell
95724718,1,0.9522654,32.579592056,4995996918.309606,0.24362671,0.01009528,27.62666636740323,63,0,-0.0478993676506986,70.0,-0.002591817923175347,0.04429611084558743,2023-11-17,-0.0004944262361928,-0.005204303711085877,Sell
38641283,1,0.97069291,27.278257634,5156127299.371749,0.25259756,0.01253326,-52566.70615778217,69,-1,-0.0004944262361928,63.0,-0.01578278518925078,0.027824430766224657,2023-11-18,0.0010454383191391,-0.015352887143857817,Sell
43688431,1,1.07976357,24.844635282,5213896622.276089,0.25104694,0.00970909,-77608.06577600265,66,1,0.0010454383191391,69.0,0.008642028438187252,0.014511681045156623,2023-11-19,0.0253750732316155,0.019718497413403917,Buy
95760661,1,0.99051038,45.131791881,5345664486.234691,0.25603849,0.01636679,-3980.18360949948,69,1,0.0253750732316155,66.0,0.01033376206947952,0.013145547986440725,2023-11-20,0.004580774657684,0.0015055082069994486,Buy
121543822,1,0.94774903,45.641080284,5063834789.87318,0.25405665,0.0159146,-16164.4407939784,71,1,0.004580774657684,69.0,-0.004826931140893948,0.03584407298527352,2023-11-21,-0.0444366413119813,-0.019191816903018907,Sell
84427576,1,1.02807498,45.161108097,5580406213.536268,0.26441048,0.01224134,-85279.24898007803,62,1,-0.0444366413119813,71.0,0.00932533600417372,0.056284438940070014,2023-11-22,0.0678318746668185,0.034538358047018956,Buy
57091242,1,0.98785108,37.337252875,5617606953.308124,0.26632497,0.01885245,-15881.129510387897,66,0,0.0678318746668185,62.0,0.007575455404069487,0.05658649627526883,2023-11-23,-0.0006688671426287,-0.005922113693413605,Sell
88813138,1,0.99067714,33.26327675,5627147235.886405,0.26515869,0.02133051,-55394.12581813359,66,1,-0.0006688671426287,66.0,0.025595206888356953,0.03693820136901064,2023-11-24,0.0096226131408811,0.007901457454185558,Buy
21736016,1,0.99310866,26.140756115,5587336842.478162,0.26370919,0.01401682,-32969.69751810486,73,1,0.0096226131408811,66.0,0.0033080433561936853,0.005529659104236813,2023-11-25,0.0009703840703287,0.001823150160766673,Buy
50742621,1,0.93902505,28.528695135,5372147805.269268,0.25682858,0.01949837,-20281.80503626098,73,1,0.0009703840703287,73.0,8.195643569305217e-05,0.010014470385282583,2023-11-26,-0.0103471279041306,-0.007686940428466893,Sell
