volume,sentiment,Taker Buy Sell Ratio,MVRV Ratio,Open Interest,Funding Rates,Estimated Leverage Ratio,Exchange Netflow (Total),fng_value,Daily_sentiment,lag_return_1,lag_fng,ma_3,volatility_3,Datetime,Actual_Return,Predicted_Return,Signal
2697385,1,0.99642069,1.32210972,8497083913.267618,0.00789923,0.21555222,-2127.724817400001,47,1,0.0038924473061348,44.0,-0.00022639278542974705,0.00413906650110077,2023-10-14,-0.0001862322241341,0.00041517658329848944,Hold
5539812,1,1.14917138,1.33758929,8700942695.598574,0.005298665,0.21834527,-1696.7572505200003,45,1,-0.0001862322241341,47.0,0.005041458950363153,0.005886905877149793,2023-10-15,0.0114181617690887,0.01636590976267984,Buy
31393411,1,1.05911365,1.40308361,8368627111.678736,0.0060513066666666,0.20116224,-3712.683222790001,47,1,0.0114181617690887,45.0,0.020329795142814987,0.026137251242024276,2023-10-16,0.0497574558834903,0.03633974101207323,Buy
12627516,1,0.96728569,1.39735705,8490178658.0,0.001990965,0.20554291,-6850.697604189998,52,0,0.0497574558834903,47.0,0.019193067379506587,0.02751355604451642,2023-10-17,-0.0035964155140593,-0.007523120094207146,Sell
10939212,1,1.02191238,1.39292537,8237499571.0,-0.00022305,0.20017978,-109.89944688999822,50,0,-0.0035964155140593,52.0,0.014403379574867585,0.030619229346372907,2023-10-18,-0.0029509016448283,0.016467936737929904,Buy
10972213,1,1.01137216,1.41254128,8627207565.279358,-0.00656295,0.20778258,-8207.188399599996,52,1,-0.0029509016448283,50.0,0.002517188579246852,0.010035233155477476,2023-10-19,0.0140988828966281,0.005978788026086808,Buy
23590176,1,1.08691382,1.45820131,8797721881.197485,-4.89983333333e-05,0.20541582,3034.609929120008,53,1,0.0140988828966281,52.0,0.014828072273478285,0.018154555066089147,2023-10-20,0.033336235568635,0.030375817343803936,Buy
9573013,1,1.05394656,1.46959898,9046842741.0,0.0013834233333333,0.20924655,1835.06713358,63,1,0.033336235568635,53.0,0.018474265514994922,0.013228579722896063,2023-10-21,0.0079876780797216,0.019711635954824447,Buy
7390432,1,0.99596058,1.47377427,8932910816.430319,0.0071576966666666,0.20587866,308.7837387100008,53,1,0.0079876780797216,63.0,0.014736486057893154,0.016308615916088308,2023-10-22,0.0028855445253228,0.0037512926280761,Buy
44118216,1,1.08214354,1.62180793,8891804249.538946,0.0076325299999999,0.18578892,4016.540209640007,53,0,0.0028855445253228,53.0,0.03804795891195686,0.05654208981291599,2023-10-23,0.1032706541308261,0.05902076786548733,Buy
43741546,1,1.00125255,1.65818904,8832562127.981163,0.0170455766666666,0.17918239,5057.920286290013,66,1,0.1032706541308261,53.0,0.043805487288578145,0.05269949297414782,2023-10-24,0.0252602632095855,0.018536807617360745,Buy
19844114,1,1.01053803,1.68401912,9387949999.008102,0.012830875,0.18715298,3797.79674428,72,1,0.0252602632095855,66.0,0.04849099199049615,0.04762254371627996,2023-10-25,0.0169420586310768,0.02112243701919051,Buy
13505235,1,0.95040768,1.6646263,9325159856.0,0.0141662066666666,0.1878319,1814.9191513999976,71,1,0.0169420586310768,72.0,0.010777795315573149,0.018357934635491728,2023-10-26,-0.0098689358939429,-0.00830589819718574,Sell
11608539,1,0.94623263,1.65066238,9183458593.532455,0.0123733649999999,0.18640675,-402.7068505400021,70,1,-0.0098689358939429,71.0,-0.00014021650943258553,0.01484127499737159,2023-10-27,-0.0074937722654317,-0.006339431334769705,Sell
6793353,1,1.06213957,1.65882687,9325529483.427773,0.0135560299999999,0.18801117,-206.56425246999788,65,1,-0.0074937722654317,70.0,-0.0038586901714588867,0.008437097372956278,2023-10-28,0.0057866376449979,0.012935948247569619,Buy
8655129,1,1.03451231,1.67972007,9725347221.0,0.02217425,0.19366946,1814.9359689999983,72,0,0.0057866376449979,65.0,0.003797280756472281,0.010439515557033485,2023-10-29,0.0130989768898506,0.011820793761623509,Buy
13042186,1,0.95639549,1.67582625,9528499042.159996,0.0152923516666666,0.1902798,190.5674026400011,68,1,0.0130989768898506,72.0,0.005928571561208181,0.007100502383950768,2023-10-30,-0.001099899851224,-0.00591079320321305,Sell
10198652,1,1.00268322,1.6823578,9673502039.300346,0.01011157,0.1921616,-657.8186313599945,66,0,-0.001099899851224,68.0,0.0056339728281477805,0.007127618115523204,2023-10-31,0.0049028414458167,0.009415756369642706,Buy
20029104,1,1.00911231,1.716338,9839777084.975307,0.0160952533333333,0.19150386,1397.3355258299998,66,-1,0.0049028414458167,66.0,0.00873597169833888,0.01221226569760323,2023-11-01,0.0224049735004239,0.009195684072212114,Buy
15862017,1,0.92332509,1.69204123,9474089659.691902,0.020020815,0.18595215,9901.266941380003,72,1,0.0224049735004239,66.0,0.00438606729866448,0.018282771702124532,2023-11-02,-0.0141496130502472,-0.014626765186701857,Sell
8484767,1,0.9860747,1.692506,9720542161.0,0.0147283166666666,0.19106658,2135.2355407799987,70,0,-0.0141496130502472,72.0,0.0035995410309413466,0.018300170559254765,2023-11-05,0.0025432626426473,0.0007353991929629468,Hold
7815319,1,0.99293297,1.6936217,9744758753.0,0.0151897599999999,0.19104469,4099.196591760003,74,0,0.0025432626426473,70.0,-0.0036785464338539523,0.009121686628845686,2023-11-06,0.000570711106038,0.0008730931772046153,Hold
14844683,1,1.0033671,1.70977843,10005602930.008688,0.0082530216666666,0.19436863,2480.874026379999,68,0,0.000570711106038,74.0,0.004331967977830081,0.004906556864572895,2023-11-07,0.0098819301848049,0.009347570685388863,Buy
12969111,1,1.00704452,1.71886857,10140983472.07156,0.0103231966666666,0.19707814,-5768.111602239995,66,1,0.0098819301848049,68.0,0.005619173733114847,0.0047050718197211554,2023-11-08,0.0064048799085016,0.00934332550777169,Buy
41181848,1,1.06164632,1.76566578,9615329440.005676,0.0183255733333333,0.18231646,-821.3258917099956,69,1,0.0064048799085016,66.0,0.015542871629240382,0.01293363006956892,2023-11-09,0.0303418047944146,0.029104522858346176,Buy
16082565,1,0.94575033,1.7927248,9616925812.058592,0.0338288633333333,0.17599035,29928.05674157001,70,1,0.0303418047944146,69.0,0.017743839334220315,0.0120180246045095,2023-11-10,0.0164848332997447,-0.009051498137525428,Sell
8616138,1,0.95348608,1.78306727,9538164789.552065,0.012497555,0.17523217,1892.103363739996,70,1,0.0164848332997447,70.0,0.014148688977327246,0.017478673454787916,2023-11-11,-0.0043805711621776,-0.007806103759190949,Sell
6182403,1,0.98223672,1.77972713,9627156842.871387,0.02151521,0.17715425,827.2468157600015,73,0,-0.0043805711621776,70.0,0.0035144869514936133,0.011320785698791257,2023-11-12,-0.0015608012830863,-0.001287559834488952,Sell
13006862,1,0.94051442,1.74875206,9545024189.907568,0.0184103666666666,0.17877021,1063.6122536500045,72,0,-0.0015608012830863,73.0,-0.00752547164076682,0.00801411168867331,2023-11-13,-0.0166350424770366,-0.010123366149946356,Sell
22813314,1,0.91403108,1.70485287,9078667684.638788,0.0143842733333333,0.17406592,3845.364596879997,69,0,-0.0166350424770366,72.0,-0.01442757610169632,0.011917375099405537,2023-11-14,-0.0250868845449661,-0.023897391003166943,Sell
28367191,1,1.05222597,1.81514543,9935486880.725506,0.01076773,0.17878075,1579.3080779099982,60,1,-0.0250868845449661,69.0,0.007830171277963115,0.04987386144084784,2023-11-15,0.065212440855892,0.03987085861449958,Buy
25701789,1,0.930383,1.73078008,9466177688.554531,0.0118814849999999,0.17860245,1791.007800579995,70,0,0.065212440855892,60.0,-0.0016852754646816844,0.058799877132155495,2023-11-16,-0.045181382704971,-0.026243391091981073,Sell
19031147,1,0.99773858,1.75254871,9269898306.472668,0.0093636166666666,0.17274622,-2048.071834399998,63,0,-0.045181382704971,70.0,0.010779926523233148,0.05521278819685912,2023-11-17,0.0123087214187784,0.012995449277716243,Buy
