Datetime,Gas Price (Mean)
2020-05-04T00:00:00Z,14.960956744
2020-05-03T00:00:00Z,12.508313919
2020-05-02T00:00:00Z,11.379280224
2020-05-01T00:00:00Z,13.871348462
2020-04-30T00:00:00Z,23.806004409
2020-04-29T00:00:00Z,18.441926992
2020-04-28T00:00:00Z,13.037417827
2020-04-27T00:00:00Z,13.905694705
2020-04-26T00:00:00Z,13.430440752
2020-04-25T00:00:00Z,12.533640893
2020-04-24T00:00:00Z,13.761137731
2020-04-23T00:00:00Z,14.362524651
2020-04-22T00:00:00Z,14.176379423
2020-04-21T00:00:00Z,13.95533068
2020-04-20T00:00:00Z,13.760989357
2020-04-19T00:00:00Z,12.016649238
2020-04-18T00:00:00Z,12.686017773
2020-04-17T00:00:00Z,12.242393509
2020-04-16T00:00:00Z,15.053683922
2020-04-15T00:00:00Z,11.628600462
2020-04-14T00:00:00Z,12.288491227
2020-04-13T00:00:00Z,11.932799839
2020-04-12T00:00:00Z,9.793167779
2020-04-11T00:00:00Z,11.31822993
2020-04-10T00:00:00Z,12.25837433
2020-04-09T00:00:00Z,12.266774327
2020-04-08T00:00:00Z,11.572118698
2020-04-07T00:00:00Z,13.006219587
2020-04-06T00:00:00Z,14.381732316
2020-04-05T00:00:00Z,10.412204808
2020-04-04T00:00:00Z,10.630562971
2020-04-03T00:00:00Z,12.534218783
2020-04-02T00:00:00Z,13.082414908
2020-04-01T00:00:00Z,12.150737098
2020-03-31T00:00:00Z,13.057418232
2020-03-30T00:00:00Z,11.876482617
2020-03-29T00:00:00Z,11.007794241
2020-03-28T00:00:00Z,11.403476135
2020-03-27T00:00:00Z,12.538801867
2020-03-26T00:00:00Z,13.006977602
2020-03-25T00:00:00Z,13.740172222
2020-03-24T00:00:00Z,13.674121442
2020-03-23T00:00:00Z,14.450704958
2020-03-22T00:00:00Z,12.931944659
2020-03-21T00:00:00Z,12.402467898
2020-03-20T00:00:00Z,16.334875641
2020-03-19T00:00:00Z,18.311312944
2020-03-18T00:00:00Z,15.693695019
2020-03-17T00:00:00Z,18.710311179
2020-03-16T00:00:00Z,29.665430716
2020-03-15T00:00:00Z,14.343879757
2020-03-14T00:00:00Z,16.636621543
2020-03-13T00:00:00Z,84.725836473
