Datetime,Funding Rates
2025-05-06T00:00:00Z,0.00597201
2025-05-05T00:00:00Z,-0.00032265
2025-05-04T00:00:00Z,-0.0028097
2025-05-03T00:00:00Z,0.00625127
2025-05-02T00:00:00Z,0.00608135
2025-05-01T00:00:00Z,0.00791414
2025-04-30T00:00:00Z,0.00334864
2025-04-29T00:00:00Z,0.00418197
2025-04-28T00:00:00Z,0.00482415
2025-04-27T00:00:00Z,0.005874
2025-04-26T00:00:00Z,0.00596623
2025-04-25T00:00:00Z,0.00651165
2025-04-24T00:00:00Z,0.00977104
2025-04-23T00:00:00Z,0.00919628
2025-04-22T00:00:00Z,0.00510794
2025-04-21T00:00:00Z,0.00692452
2025-04-20T00:00:00Z,0.00851206
2025-04-19T00:00:00Z,0.01347235
2025-04-18T00:00:00Z,0.00731719
2025-04-17T00:00:00Z,0.00901917
2025-04-16T00:00:00Z,0.00439951
2025-04-15T00:00:00Z,0.00294748
2025-04-14T00:00:00Z,0.00862676
2025-04-13T00:00:00Z,0.00434665
2025-04-12T00:00:00Z,0.00828958
2025-04-11T00:00:00Z,0.00649823
2025-04-10T00:00:00Z,0.01213305
2025-04-09T00:00:00Z,0.00849534
2025-04-08T00:00:00Z,0.00579598
2025-04-07T00:00:00Z,0.00193282
2025-04-06T00:00:00Z,0.00347632
2025-04-05T00:00:00Z,0.00757686
2025-04-04T00:00:00Z,0.01445574
2025-04-03T00:00:00Z,0.01447326
2025-04-02T00:00:00Z,0.01115206
2025-04-01T00:00:00Z,0.01022881
2025-03-31T00:00:00Z,0.00357915
2025-03-30T00:00:00Z,0.00075218
2025-03-29T00:00:00Z,0.00662224
2025-03-28T00:00:00Z,0.00748148
2025-03-27T00:00:00Z,0.0054077
2025-03-26T00:00:00Z,0.00249233
2025-03-25T00:00:00Z,0.0011282
2025-03-24T00:00:00Z,0.00501464
2025-03-23T00:00:00Z,0.00317277
2025-03-22T00:00:00Z,0.00407746
2025-03-21T00:00:00Z,0.00699813
2025-03-20T00:00:00Z,0.00726172
2025-03-19T00:00:00Z,0.00747953
2025-03-18T00:00:00Z,0.00748445
2025-03-17T00:00:00Z,0.0113274
2025-03-16T00:00:00Z,0.00327382
2025-03-15T00:00:00Z,0.00519957
2025-03-14T00:00:00Z,0.01267392
2025-03-13T00:00:00Z,0.00844199
2025-03-12T00:00:00Z,0.00753089
2025-03-11T00:00:00Z,0.00712543
2025-03-10T00:00:00Z,0.00960486
2025-03-09T00:00:00Z,0.00024488
2025-03-08T00:00:00Z,0.01160908
2025-03-07T00:00:00Z,0.00868467
2025-03-06T00:00:00Z,0.00325416
2025-03-05T00:00:00Z,0.00668573
2025-03-04T00:00:00Z,0.00654645
2025-03-03T00:00:00Z,0.00947098
2025-03-02T00:00:00Z,0.00336959
2025-03-01T00:00:00Z,0.00343671
2025-02-28T00:00:00Z,0.01067516
2025-02-27T00:00:00Z,0.01708963
2025-02-26T00:00:00Z,0.01010852
2025-02-25T00:00:00Z,0.01134519
2025-02-24T00:00:00Z,0.00459768
2025-02-23T00:00:00Z,0.0026884
2025-02-22T00:00:00Z,0.0061762
2025-02-21T00:00:00Z,0.0059717
2025-02-20T00:00:00Z,0.00564091
2025-02-19T00:00:00Z,0.00780437
2025-02-18T00:00:00Z,0.00683506
2025-02-17T00:00:00Z,0.00580505
2025-02-16T00:00:00Z,0.0063771
2025-02-15T00:00:00Z,0.00481633
2025-02-14T00:00:00Z,0.00639589
2025-02-13T00:00:00Z,0.00834586
2025-02-12T00:00:00Z,0.00785062
2025-02-11T00:00:00Z,0.00938026
2025-02-10T00:00:00Z,0.00664103
2025-02-09T00:00:00Z,0.00459939
2025-02-08T00:00:00Z,0.00903947
2025-02-07T00:00:00Z,0.00399674
2025-02-06T00:00:00Z,0.00387574
2025-02-05T00:00:00Z,0.00500272
2025-02-04T00:00:00Z,0.00341129
2025-02-03T00:00:00Z,-0.00192981
2025-02-02T00:00:00Z,0.00657604
2025-02-01T00:00:00Z,0.00993891
2025-01-31T00:00:00Z,0.01062745
2025-01-30T00:00:00Z,0.01290957
2025-01-29T00:00:00Z,0.00902199
2025-01-28T00:00:00Z,0.00673681
2025-01-27T00:00:00Z,0.00660578
2025-01-26T00:00:00Z,0.00781324
2025-01-25T00:00:00Z,0.0097045
2025-01-24T00:00:00Z,0.0111453
2025-01-23T00:00:00Z,0.00709827
2025-01-22T00:00:00Z,0.00784942
2025-01-21T00:00:00Z,0.01312186
2025-01-20T00:00:00Z,0.0182967
2025-01-19T00:00:00Z,0.02375195
2025-01-18T00:00:00Z,0.01738739
2025-01-17T00:00:00Z,0.02478719
2025-01-16T00:00:00Z,0.01877789
2025-01-15T00:00:00Z,0.01049816
2025-01-14T00:00:00Z,0.01112056
2025-01-13T00:00:00Z,0.00752767
2025-01-12T00:00:00Z,0.01440207
2025-01-11T00:00:00Z,0.0091565
2025-01-10T00:00:00Z,0.00804068
2025-01-09T00:00:00Z,0.00727764
2025-01-08T00:00:00Z,0.00657029
2025-01-07T00:00:00Z,0.00717064
2025-01-06T00:00:00Z,0.00991848
2025-01-05T00:00:00Z,0.00906482
2025-01-04T00:00:00Z,0.0085348
2025-01-03T00:00:00Z,0.00946756
2025-01-02T00:00:00Z,0.0193415
2025-01-01T00:00:00Z,0.01684309
2024-12-31T00:00:00Z,0.01146177
2024-12-30T00:00:00Z,0.01564284
2024-12-29T00:00:00Z,0.00827462
2024-12-28T00:00:00Z,0.01039952
2024-12-27T00:00:00Z,0.01560198
2024-12-26T00:00:00Z,0.01344722
