Datetime,Taker Buy Sell Ratio
2024-12-25T00:00:00Z,0.9534383
2024-12-24T00:00:00Z,0.97515533
2024-12-23T00:00:00Z,1.02410058
2024-12-22T00:00:00Z,0.92853689
2024-12-21T00:00:00Z,0.96961901
2024-12-20T00:00:00Z,0.94825126
2024-12-19T00:00:00Z,0.88625345
2024-12-18T00:00:00Z,0.89864952
2024-12-17T00:00:00Z,0.87873533
2024-12-16T00:00:00Z,0.99130302
2024-12-15T00:00:00Z,1.03213615
2024-12-14T00:00:00Z,0.87076989
2024-12-13T00:00:00Z,0.976369
2024-12-12T00:00:00Z,1.01134385
2024-12-11T00:00:00Z,1.02868329
2024-12-10T00:00:00Z,0.91853579
2024-12-09T00:00:00Z,0.8509768
2024-12-08T00:00:00Z,0.88697496
2024-12-07T00:00:00Z,0.9741738
2024-12-06T00:00:00Z,1.00341261
2024-12-05T00:00:00Z,0.92646852
2024-12-04T00:00:00Z,0.97475225
2024-12-03T00:00:00Z,0.85828628
2024-12-02T00:00:00Z,0.89827073
2024-12-01T00:00:00Z,0.93597278
2024-11-30T00:00:00Z,0.98422775
2024-11-29T00:00:00Z,0.96643614
2024-11-28T00:00:00Z,0.88999417
2024-11-27T00:00:00Z,0.99424125
2024-11-26T00:00:00Z,0.87984954
2024-11-25T00:00:00Z,0.96347368
2024-11-24T00:00:00Z,0.90333944
2024-11-23T00:00:00Z,0.95651821
2024-11-22T00:00:00Z,0.89341404
2024-11-21T00:00:00Z,0.99925923
2024-11-20T00:00:00Z,0.91625586
2024-11-19T00:00:00Z,0.87500826
2024-11-18T00:00:00Z,0.99070744
2024-11-17T00:00:00Z,0.90336275
2024-11-16T00:00:00Z,0.93432517
2024-11-15T00:00:00Z,0.96622607
2024-11-14T00:00:00Z,0.92666059
2024-11-13T00:00:00Z,0.91971035
2024-11-12T00:00:00Z,0.95223501
2024-11-11T00:00:00Z,0.97782546
2024-11-10T00:00:00Z,0.94875455
2024-11-09T00:00:00Z,1.00053039
2024-11-08T00:00:00Z,0.99795182
2024-11-07T00:00:00Z,0.97620167
2024-11-06T00:00:00Z,1.04862866
2024-11-05T00:00:00Z,1.02365268
2024-11-04T00:00:00Z,0.97753863
2024-11-03T00:00:00Z,0.98975705
2024-11-02T00:00:00Z,0.88495371
2024-11-01T00:00:00Z,0.94916369
2024-10-31T00:00:00Z,0.84415992
2024-10-30T00:00:00Z,0.95442347
2024-10-29T00:00:00Z,0.97823271
2024-10-28T00:00:00Z,1.06198145
2024-10-27T00:00:00Z,1.04213167
2024-10-26T00:00:00Z,1.01010765
2024-10-25T00:00:00Z,0.92277488
2024-10-24T00:00:00Z,1.0025887
2024-10-23T00:00:00Z,0.90858608
2024-10-22T00:00:00Z,0.9095783
2024-10-21T00:00:00Z,0.8803166
2024-10-20T00:00:00Z,1.07050068
2024-10-19T00:00:00Z,0.92217522
2024-10-18T00:00:00Z,1.01182891
2024-10-17T00:00:00Z,0.96293047
2024-10-16T00:00:00Z,1.01664221
2024-10-15T00:00:00Z,0.94473333
2024-10-14T00:00:00Z,1.11785525
2024-10-13T00:00:00Z,0.94535615
2024-10-12T00:00:00Z,1.04893638
2024-10-11T00:00:00Z,1.05153308
2024-10-10T00:00:00Z,0.96137996
2024-10-09T00:00:00Z,0.91720189
2024-10-08T00:00:00Z,1.01624183
2024-10-07T00:00:00Z,0.99238565
2024-10-06T00:00:00Z,1.03459536
2024-10-05T00:00:00Z,0.93879757
2024-10-04T00:00:00Z,1.02109239
2024-10-03T00:00:00Z,0.98413398
2024-10-02T00:00:00Z,0.97318968
2024-10-01T00:00:00Z,0.92052828
2024-09-30T00:00:00Z,0.94599893
2024-09-29T00:00:00Z,0.94437463
2024-09-28T00:00:00Z,0.95564224
2024-09-27T00:00:00Z,1.0129602
2024-09-26T00:00:00Z,1.00127317
2024-09-25T00:00:00Z,0.93587365
2024-09-24T00:00:00Z,0.96771274
2024-09-23T00:00:00Z,1.01210144
2024-09-22T00:00:00Z,0.97723541
2024-09-21T00:00:00Z,1.03128915
2024-09-20T00:00:00Z,1.02381001
2024-09-19T00:00:00Z,1.034282
2024-09-18T00:00:00Z,0.98953959
2024-09-17T00:00:00Z,1.00565927
2024-09-16T00:00:00Z,0.99352425
2024-09-15T00:00:00Z,0.88132747
2024-09-14T00:00:00Z,0.88162783
2024-09-13T00:00:00Z,1.0903721
2024-09-12T00:00:00Z,0.99432442
2024-09-11T00:00:00Z,0.95445495
2024-09-10T00:00:00Z,0.99903637
2024-09-09T00:00:00Z,1.03627422
2024-09-08T00:00:00Z,1.01548233
2024-09-07T00:00:00Z,0.98154983
2024-09-06T00:00:00Z,0.90880938
2024-09-05T00:00:00Z,0.94136248
2024-09-04T00:00:00Z,0.98573969
2024-09-03T00:00:00Z,0.95021559
2024-09-02T00:00:00Z,1.06264568
2024-09-01T00:00:00Z,0.93593028
2024-08-31T00:00:00Z,1.02080178
2024-08-30T00:00:00Z,1.0027132
2024-08-29T00:00:00Z,0.98126734
2024-08-28T00:00:00Z,0.98014712
2024-08-27T00:00:00Z,0.88172487
2024-08-26T00:00:00Z,0.9138275
2024-08-25T00:00:00Z,1.00015125
2024-08-24T00:00:00Z,0.96998176
2024-08-23T00:00:00Z,1.03985761
2024-08-22T00:00:00Z,0.98143031
2024-08-21T00:00:00Z,0.96259586
2024-08-20T00:00:00Z,0.97361086
2024-08-19T00:00:00Z,1.00587013
2024-08-18T00:00:00Z,0.99385022
2024-08-17T00:00:00Z,1.02712716
2024-08-16T00:00:00Z,0.98903016
2024-08-15T00:00:00Z,0.93918656
2024-08-14T00:00:00Z,0.98563649
2024-08-13T00:00:00Z,0.94312063
2024-08-12T00:00:00Z,1.00947485
2024-08-11T00:00:00Z,0.9662803
2024-08-10T00:00:00Z,1.00267906
2024-08-09T00:00:00Z,0.96858272
2024-08-08T00:00:00Z,1.07460085
2024-08-07T00:00:00Z,0.97306524
2024-08-06T00:00:00Z,1.00670943
2024-08-05T00:00:00Z,0.94484556
2024-08-04T00:00:00Z,0.88696803
2024-08-03T00:00:00Z,0.90097242
2024-08-02T00:00:00Z,0.90038289
2024-08-01T00:00:00Z,0.94158716
2024-07-31T00:00:00Z,0.96271862
2024-07-30T00:00:00Z,0.92462162
2024-07-29T00:00:00Z,1.00453018
2024-07-28T00:00:00Z,0.97950641
2024-07-27T00:00:00Z,0.93395507
2024-07-26T00:00:00Z,1.01421411
2024-07-25T00:00:00Z,0.92988409
2024-07-24T00:00:00Z,0.89948752
2024-07-23T00:00:00Z,0.97928433
2024-07-22T00:00:00Z,0.90520945
2024-07-21T00:00:00Z,0.9769498
2024-07-20T00:00:00Z,1.00159995
2024-07-19T00:00:00Z,1.00067381
2024-07-18T00:00:00Z,0.97809253
2024-07-17T00:00:00Z,0.9689404
2024-07-16T00:00:00Z,0.95683485
2024-07-15T00:00:00Z,1.08195044
2024-07-14T00:00:00Z,1.02157181
2024-07-13T00:00:00Z,1.0151706
2024-07-12T00:00:00Z,0.9786498
2024-07-11T00:00:00Z,1.00759074
2024-07-10T00:00:00Z,1.03118955
2024-07-09T00:00:00Z,0.99903671
2024-07-08T00:00:00Z,0.96775423
2024-07-07T00:00:00Z,0.9472472
2024-07-06T00:00:00Z,1.076411
2024-07-05T00:00:00Z,0.92019506
2024-07-04T00:00:00Z,0.91784653
2024-07-03T00:00:00Z,0.88225354
2024-07-02T00:00:00Z,0.96167369
2024-07-01T00:00:00Z,0.98923536
2024-06-30T00:00:00Z,1.049623
2024-06-29T00:00:00Z,0.98406762
2024-06-28T00:00:00Z,0.92768144
2024-06-27T00:00:00Z,1.03510748
