Datetime,Estimated Leverage Ratio
2025-05-05T00:00:00Z,0.72491362
2025-05-04T00:00:00Z,0.71805213
2025-05-03T00:00:00Z,0.71649513
2025-05-02T00:00:00Z,0.72541571
2025-05-01T00:00:00Z,0.75123935
2025-04-30T00:00:00Z,0.72433255
2025-04-29T00:00:00Z,0.71400586
2025-04-28T00:00:00Z,0.71483365
2025-04-27T00:00:00Z,0.71783215
2025-04-26T00:00:00Z,0.73131546
2025-04-25T00:00:00Z,0.72724387
2025-04-24T00:00:00Z,0.73424861
2025-04-23T00:00:00Z,0.74398681
2025-04-22T00:00:00Z,0.74813216
2025-04-21T00:00:00Z,0.74841298
2025-04-20T00:00:00Z,0.71723623
2025-04-19T00:00:00Z,0.71227384
2025-04-18T00:00:00Z,0.70198696
2025-04-17T00:00:00Z,0.68663897
2025-04-16T00:00:00Z,0.68463429
2025-04-15T00:00:00Z,0.6977697
2025-04-14T00:00:00Z,0.6979988
2025-04-13T00:00:00Z,0.69113985
2025-04-12T00:00:00Z,0.72303789
2025-04-11T00:00:00Z,0.70298006
2025-04-10T00:00:00Z,0.69669023
2025-04-09T00:00:00Z,0.70131604
2025-04-08T00:00:00Z,0.72503905
2025-04-07T00:00:00Z,0.69486892
2025-04-06T00:00:00Z,0.74612591
2025-04-05T00:00:00Z,0.70777875
2025-04-04T00:00:00Z,0.70221106
2025-04-03T00:00:00Z,0.73231958
2025-04-02T00:00:00Z,0.71727898
2025-04-01T00:00:00Z,0.70989618
2025-03-31T00:00:00Z,0.72950865
2025-03-30T00:00:00Z,0.75095304
2025-03-29T00:00:00Z,0.7627772
2025-03-28T00:00:00Z,0.75968787
2025-03-27T00:00:00Z,0.72781529
2025-03-26T00:00:00Z,0.74321817
2025-03-25T00:00:00Z,0.69929362
2025-03-24T00:00:00Z,0.71549994
2025-03-23T00:00:00Z,0.68301355
2025-03-22T00:00:00Z,0.67837338
2025-03-21T00:00:00Z,0.68676217
2025-03-20T00:00:00Z,0.65456434
2025-03-19T00:00:00Z,0.66178761
2025-03-18T00:00:00Z,0.62133658
2025-03-17T00:00:00Z,0.64552965
2025-03-16T00:00:00Z,0.63298124
2025-03-15T00:00:00Z,0.65263489
2025-03-14T00:00:00Z,0.64712171
2025-03-13T00:00:00Z,0.63885955
2025-03-12T00:00:00Z,0.63980575
2025-03-11T00:00:00Z,0.63423194
2025-03-10T00:00:00Z,0.64148565
2025-03-09T00:00:00Z,0.64711882
2025-03-08T00:00:00Z,0.62806987
2025-03-07T00:00:00Z,0.61213721
2025-03-06T00:00:00Z,0.6165949
2025-03-05T00:00:00Z,0.60828051
2025-03-04T00:00:00Z,0.58938719
2025-03-03T00:00:00Z,0.60400731
2025-03-02T00:00:00Z,0.57954345
2025-03-01T00:00:00Z,0.59437681
2025-02-28T00:00:00Z,0.57881598
2025-02-27T00:00:00Z,0.61589815
2025-02-26T00:00:00Z,0.60688654
2025-02-25T00:00:00Z,0.59699471
2025-02-24T00:00:00Z,0.60846319
2025-02-23T00:00:00Z,0.62552231
2025-02-22T00:00:00Z,0.61877357
2025-02-21T00:00:00Z,0.61635479
2025-02-20T00:00:00Z,0.59599526
2025-02-19T00:00:00Z,0.58475864
2025-02-18T00:00:00Z,0.60162669
2025-02-17T00:00:00Z,0.5859345
2025-02-16T00:00:00Z,0.57415049
2025-02-15T00:00:00Z,0.56821966
2025-02-14T00:00:00Z,0.57038174
2025-02-13T00:00:00Z,0.56752425
2025-02-12T00:00:00Z,0.5700973
2025-02-11T00:00:00Z,0.56349918
2025-02-10T00:00:00Z,0.55687685
2025-02-09T00:00:00Z,0.53886932
2025-02-08T00:00:00Z,0.55512733
2025-02-07T00:00:00Z,0.55569266
2025-02-06T00:00:00Z,0.55524078
2025-02-05T00:00:00Z,0.54988393
2025-02-04T00:00:00Z,0.54250203
2025-02-03T00:00:00Z,0.54839294
2025-02-02T00:00:00Z,0.64468881
2025-02-01T00:00:00Z,0.6385039
2025-01-31T00:00:00Z,0.62833223
2025-01-30T00:00:00Z,0.62448445
2025-01-29T00:00:00Z,0.62530964
2025-01-28T00:00:00Z,0.62749795
2025-01-27T00:00:00Z,0.61709032
2025-01-26T00:00:00Z,0.61690084
2025-01-25T00:00:00Z,0.61313589
2025-01-24T00:00:00Z,0.61386939
2025-01-23T00:00:00Z,0.6209373
2025-01-22T00:00:00Z,0.61814136
2025-01-21T00:00:00Z,0.61537323
2025-01-20T00:00:00Z,0.61290732
2025-01-19T00:00:00Z,0.6264239
2025-01-18T00:00:00Z,0.63565634
2025-01-17T00:00:00Z,0.60368078
2025-01-16T00:00:00Z,0.59814517
2025-01-15T00:00:00Z,0.58576813
2025-01-14T00:00:00Z,0.59469818
2025-01-13T00:00:00Z,0.60820519
2025-01-12T00:00:00Z,0.61575405
2025-01-11T00:00:00Z,0.61136054
2025-01-10T00:00:00Z,0.59807269
2025-01-09T00:00:00Z,0.601876
2025-01-08T00:00:00Z,0.6057819
2025-01-07T00:00:00Z,0.60004695
2025-01-06T00:00:00Z,0.5789523
2025-01-05T00:00:00Z,0.58604875
2025-01-04T00:00:00Z,0.59081996
2025-01-03T00:00:00Z,0.60450722
2025-01-02T00:00:00Z,0.57466812
2025-01-01T00:00:00Z,0.5792594
2024-12-31T00:00:00Z,0.56690635
2024-12-30T00:00:00Z,0.56167039
2024-12-29T00:00:00Z,0.56015226
2024-12-28T00:00:00Z,0.55730277
2024-12-27T00:00:00Z,0.55262276
2024-12-26T00:00:00Z,0.54572192
2024-12-25T00:00:00Z,0.53341949
2024-12-24T00:00:00Z,0.53576652
2024-12-23T00:00:00Z,0.53184328
2024-12-22T00:00:00Z,0.53732872
2024-12-21T00:00:00Z,0.52815578
2024-12-20T00:00:00Z,0.52338972
2024-12-19T00:00:00Z,0.54824672
2024-12-18T00:00:00Z,0.54724554
2024-12-17T00:00:00Z,0.53639288
2024-12-16T00:00:00Z,0.51761421
